Subject,Duration,System,List,Index,Which,Name,Result,Accuracy
CY2,93.636,Z,S1,0,0,0_ance,ANCE
CY2,135.916,Z,S1,1,1,0_gir4,GIR4
CY2,305.72,Z,S1,2,2,2_lugal,AM
CY2,130.083,Z,E1,0,10,2_gada,GA2N
CY2,164.881,Z,E1,1,5,0_sig2+munus,PE2C
CY2,156.525,Z,E1,2,2,0_kac4,KAC4
CY2,172.212,Z,E1,3,14,3_sa5,DIRI
CY2,106.027,Z,E1,4,9,2_dugud,GE6
CY2,67.345,Z,E1,5,6,0_ziz2,MA
CY2,91.631,Z,E1,6,15,4_6,LA5
CY2,184.336,Z,E1,7,3,0_kiri6,TU
CY2,58.711,Z,E1,8,7,1_gag,UZ6
CY2,56.629,Z,E1,9,8,1_tur,DUMU
CY2,36.09,Z,E1,10,4,0_nita2,ARAD
CY2,136.393,Z,E1,11,12,2_nag,AL
CY2,155.077,Z,E1,12,0,0_cudun3,DUR
CY2,65.641,Z,E1,13,1,0_gur,GUR
CY2,103.722,Z,E1,14,11,2_gir3,GI3R
CY2,127.747,Z,E1,15,13,3_mac2,TI
CY2,60.851,S,S2,0,0,0_ejir,EGIR
CY2,86.11,S,S2,1,1,0_ku7,AL
CY2,84.797,S,S2,2,2,2_siskur,CEC
CY2,49.245,S,E3,0,10,2_e2,E2
CY2,61.23,S,E3,1,8,1_iku,IKU
CY2,392.477,S,E3,2,0,0_bal,BAL
CY2,87.339,S,E3,3,13,3_sag,SI
CY2,33.94,S,E3,4,12,2_mec,E2S
CY2,98.426,S,E3,5,6,0_zu9,SUD
CY2,91.287,S,E3,6,14,3_zag,ZA3
CY2,107.566,S,E3,7,5,0_sa,SA
CY2,32.055,S,E3,8,7,1_2,HAB
CY2,65.851,S,E3,9,2,0_ezen4,GU2G
CY2,93.9,S,E3,10,9,2_dug,DUG
CY2,70.945,S,E3,11,1,0_elam,DI3H
CY2,41.625,S,E3,12,11,2_lal3,KAS
CY2,56.095,S,E3,13,3,0_gu4,GU4
CY2,55.598,S,E3,14,15,4_dub,HAB
CY2,76.657,S,E3,15,4,0_hur,HAR
